Espécie;Amostra;Local;Data;Clorofila;espessura.foliar;massa.turgida.foliar;area.foliar;massa.para.furar.g.;massa.seca.foliar;volume.ramo;peso.seco.ramo;comprimento.ramo;densidade.vasos;
Alchornea sidifolia;2;Spitz;16/04/2016;52,9;0,156;3,648;178,3066;336,08;1,504;1,46;0,39;5,5;NA;0,267123288
Alchornea sidifolia;1;Spitz;16/04/2016;49,7;0,15;4,116;239,171;262,84;1,73;1,76;0,47;5,4;NA;0,267045455
Alchornea triplinervia;5;PMSF;09/06/2016;45,06;0,188;NA;43,714;433,02;0,414;1,09;0,48;4,9;3,021354592;0,440366972
Alchornea triplinervia;2;FURB;25/04/2016;51,4;0,192;1,354;83,2498;256,23;0,548;1,8;0,69;5,3;NA;0,383333333
Alchornea triplinervia;4;PMSF;09/06/2016;58,82;0,236;1,514;84,7466;314,74;0,674;2,11;0,75;5,7;NA;0,355450237
Alchornea triplinervia;3;PMSF;09/06/2016;44,86;0,072;NA;80,1422;125,25;0,292;3,78;1,14;5,3;2,884211313;0,301587302
Alchornea triplinervia;1;PMSF;06/04/2016;51,14;0,304;1,478;127,593;144,46;0,62;1,55;0,4;5,3;NA;0,258064516
Allophylus edulis;4;Serra da Leoa;12/09/2016;56,98;0,128;0,428;23,7376;295,59;0,192;3,39;2,44;5,5;27,2942069;0,719764012
Allophylus edulis;3;FURB;02/05/2016;60,26;0,16;0,472;21,8132;131,9;0,214;1,58;1,08;4,3;17,74017831;0,683544304
Allophylus edulis;2;FURB;27/04/2016;37,38;0,156;0,336;15,1644;299,07;0,166;1,86;1,24;5,8;16,68480124;0,666666667
Allophylus edulis;5;Serra da Leoa;12/09/2016;39,3;0,106;0,296;17,2864;52,69;0,076;1,99;1,23;5,5;NA;0,618090452
Allophylus petiolulatus;4;Spitz;16/04/2016;65,18;0,238;0,766;34,4642;212,64;0,234;0,75;0,38;5;NA;0,506666667
Allophylus petiolulatus;1;FURB;24/05/2017;NA;0,08;0,382;25,274;202,72;0,136;1,26;0,62;5,2;NA;0,492063492
Allophylus petiolulatus;2;FURB;24/05/2017;NA;0,12;1,04;64,783;169,04;0,366;1,14;0,4;5;NA;0,350877193
Allophylus petiolulatus;3;FURB;24/05/2017;NA;0,12;0,608;29,545;245,39;0,27;1,2;0,33;5,3;NA;0,275
Alsophila setosa;2;Morro do Baú;12/12/2016;NA;0,08;0,148;6,7532;34,55;0,058;2,65;0,58;4,3;NA;0,218867925
Alsophila setosa;4;Morro do Baú;12/12/2016;NA;0,065;0,176;9,789;42,7;0,052;3;0,56;4,6;NA;0,186666667
Alsophila setosa;3;Morro do Baú;12/12/2016;NA;0,06;0,16;8,2032;28,57;0,062;4,55;0,84;4,4;NA;0,184615385
Alsophila setosa;5;UA 803;02/03/2017;NA;0,0847;NA;8,5642;15,5;0,244;4,07;0,65;4,8;NA;0,15970516
Alsophila setosa;1;Morro do Baú;12/12/2016;NA;0,086;0,146;8,335;NA;0,05;6,18;0,96;5;NA;0,155339806
Amaioua guianensis;3;PMSF;21/09/2016;58,32;0,13;0,678;42,7954;342,82;0,288;2,72;1,61;5,4;NA;0,591911765
Amaioua guianensis;4;PMSF;21/09/2016;61,12;0,15;1,852;34,3454;242,48;0,808;1,22;0,7;5,2;NA;0,573770492
Amaioua guianensis;1;PMSF;06/06/2016;54,08;0,188;1,34;79,1988;292,69;0,532;2,85;1,5;5,9;5,976353178;0,526315789
Amaioua guianensis;2;PMSF;06/06/2016;48,16;0,137;0,87;43,4096;130,22;0,228;2,12;0,77;6,1;NA;0,363207547
Andira fraxinifolia;4;PMSF;23/05/2016;46,44;0,132;0,94;58,7318;283,6;0,33;3,61;2,09;4,2;NA;0,578947368
Andira fraxinifolia;5;Braço Paula Ramos ;09/06/2016;44,94;0,14;0,23;13,7898;312,61;0,12;0,42;0,2;4,9;46,07035276;0,476190476
Andira fraxinifolia;1;FURB;13/04/2016;53,18;0,17;0,268;19,9928;213,83;0,104;2,41;1,09;3,4;8,898810665;0,452282158
Andira fraxinifolia;3;FURB;25/04/2016;50,02;0,134;0,404;25,6406;174,2;0,16;2,23;0,86;5,8;9,032180853;0,385650224
Andira fraxinifolia;2;FURB;25/04/2016;42,18;0,17;0,326;13,2944;232,22;0,118;3,11;0,99;5;5,336861662;0,318327974
Aniba firmula;4;Massaranduba;26/07/2016;64,82;0,194;0,524;26,32;332,83;0,23;2,34;1,43;5;6,086056168;0,611111111
Aniba firmula;5;PMSF;24/08/2016;59,84;0,234;0,66;46,6376;301,58;0,344;1,35;0,71;4,4;5,159476533;0,525925926
Aniba firmula;3;Massaranduba;26/07/2016;60,46;0,172;1,094;57,2906;242,24;0,408;2,76;1,45;5,5;4,68252712;0,525362319
