"";"Nome";"Amostra";"Localidade";"Data";"Clorofila";"Espessura";"Massa.Foliar.Turgida";"Area.Foliar";"Massa.Para.Furar";"Massa.Foliar.seca";"Volume.Ramo";"Massa.Seca.Ramo";"Comprimento.Ramo";"Densidade.Vasos"
"84";"Myrsine gardneriana";5;"Ipiranga";2016-08-08;56,72;0,348;1,9;54,3554;293,52;0,594;5,37;3,07;NA;6,292132412
"85";"Posoqueria latifolia";1;"Braço Paula Ramos";2016-06-09;73,46;0,348;1,898;56,4194;463,32;0,62;1,33;0,66;5;NA
"86";"Alchornea glandulosa";4;"Massaranduba";2016-07-26;42,14;0,134;1,856;132,4392;251,15;0,78;4,06;1,4;4,9;0,811658299
"87";"Amaioua guianensis";4;"PMSF";2016-09-21;61,12;0,15;1,852;115,937;242,48;0,808;1,22;0,7;5,2;NA
"88";"Piptocarpha axillaris";5;"Ipiranga";2016-08-08;60,68;0,324;1,836;81,4692;321,03;0,928;2,11;0,8;5;5,820805093
"89";"Gochnatia polymorpha";3;"Rua Bahia, Blumenau";2016-09-14;55,12;0,376;1,836;61,7106;297,78;0,82;1,39;0,68;5,6;4,298207505
"90";"Myrcia catharinensis";2;"FURB";2017-05-25;NA;0,28;1,81;NA;618,82;0,704;0,87;0,48;5,2;NA
"91";"Daphnopsis fasciculata";2;"Ipiranga";2016-08-08;64,12;0,372;1,79;44,7852;912,86;0,606;4,05;1,54;5,3;3,503701408
"92";"Clusia criuva";3;"Braço Paula Ramos";2016-06-09;71,36;0,562;1,768;32,6154;734,84;0,464;1,22;0,84;5,5;4,618030423
"93";"Aegiphila integrifolia";2;"Praia Vermelha";2017-02-09;NA;0,212;1,766;71,5726;172,05;0,382;1,36;0,28;4,8;NA
"94";"Alchornea glandulosa";2;"FURB";2016-05-02;48,26;0,112;1,764;110,5204;368,78;0,734;1,94;0,76;5,3;2,032369133
"95";"Heisteria silvianii";1;"Spitzkopf";2016-04-16;78,82;0,348;1,726;52,4474;505,23;0,768;0,95;0,55;5,5;25,10437626
"96";"Myrcia catharinensis";4;"FURB";2017-05-27;NA;0,2;1,714;NA;305,15;0,69;0,92;0,6;4,8;NA
"97";"Myrcia catharinensis";1;"FURB";2017-05-24;NA;0,24;1,692;NA;463,47;0,68;1,04;0,41;5,2;NA
"98";"Tetrorchidium rubrivenium";2;"Praia Vermelha";2017-02-10;NA;0,278;1,676;49,2532;274,21;0,32;4,09;0,88;5;NA
"99";"Piptocarpha axillaris";4;"Ipiranga";2016-08-08;43,58;0,302;1,672;59,199;386,27;0,58;1,15;0,53;4,4;NA
"100";"Nectandra membranacea";1;"FURB";2016-04-25;50,34;0,138;1,67;102,3342;2275,92;0,692;2,34;0,92;4,7;15,91697268
