"";"Nome";"Amostra";"Localidade";"Data";"Clorofila";"Espessura";"Massa.Foliar.Turgida";"Area.Foliar";"Massa.Para.Furar";"Massa.Foliar.seca";"Volume.Ramo";"Massa.Seca.Ramo";"Comprimento.Ramo";"Densidade.Vasos"
"230";"Guapira opposita";1;"FURB";2016-04-25;56,18;0,3;0,798;27,9768;341,32;0,128;1,22;0,41;4,5;NA
"231";"Ilex theezans";1;"Spitzkopf";2016-04-16;75,62;0,425;0,796;19,2922;700,5;0,348;1,3;0,73;4,8;NA
"232";"Aspidosperma tomentosum";4;"FURB";2017-03-16;NA;0,144;0,796;26,4154;132,33;0,218;0,8;0,36;4,9;NA
"233";"Nectandra lanceolata";2;"Curitiba";2017-03-14;NA;0,216;0,792;30,1612;376,17;0,354;1,47;0,67;5;NA
"234";"Ocotea odorifera";4;"PMSF";2016-08-24;54,84;0,194;0,79;43,8134;285,38;0,342;1,82;1,16;5,4;9,199022369
"235";"Tetrorchidium rubrivenium";3;"Praia Vermelha";2017-02-11;NA;0,254;0,788;24,2124;314,7;0,14;1,6;0,4;5,3;NA
"236";"Cupania vernalis";5;"FURB";2016-05-02;58,44;0,124;0,782;42,0136;287,31;0,266;5,54;2,78;5,7;NA
"237";"Sloanea guianensis";2;"PMSF";2016-04-06;60,1;0,19;0,78;73,9412;332,95;0,38;3,05;1,41;5,7;NA
"238";"Gochnatia polymorpha";4;"Rua Bahia, Blumenau";2016-09-15;57,94;0,296;0,775;34,8776;197,29;0,338;1,35;0,53;5;NA
"239";"Coussapoa microcarpa";1;"Spitzkopf";2016-04-16;66,28;0,382;0,772;20,3356;751,44;0,274;1,35;0,78;4,9;NA
"240";"Ocotea pulchella";1;"Morro do Baú";2016-12-12;NA;0,23;0,764;28,1694;387,79;0,316;2,35;1,68;4,8;NA
"241";"Ocotea aciphylla";2;"PMSF";2016-05-23;59,24;0,182;0,762;39,7876;269,77;0,296;1,94;0,81;4,8;NA
"242";"Sloanea guianensis";4;"FURB";2016-05-02;57,94;0,115;0,76;64,9222;360,67;0,358;2,59;1,5;4,9;NA
"243";"Schefflera angustissima";3;"Morro do Baú";2016-12-12;NA;0,33;0,76;20,0066;391,07;0,254;3,45;1,73;5,6;NA
"244";"Cryptocarya mandioccana";2;"Braço Paula Ramos";2016-06-09;58,28;0,214;0,748;36,1195;368,66;0,236;0,8;0,35;5,7;6,530651278
"245";"Clethra scabra";4;"Spitzkopf";2016-04-16;45,64;0,246;0,744;20,7088;337,03;0,286;1,32;0,4;5,6;19,52063463
"246";"Myrcia brasiliensis";3;"Praia Vermelha";2017-02-09;NA;0,25;0,742;27,897;253,82;0,216;0,79;0,39;5;NA
"247";"Aspidosperma tomentosum";1;"Ipiranga";2016-08-08;47;0,128;0,74;44,0154;97,48;0,212;1,5;0,88;5,2;NA
"248";"Ocotea puberula";4;"Serra da Leoa";2016-09-12;63,25;0,16;0,74;37,1842;245,8;0,29;2,02;0,9;5,1;NA
"249";"Duguetia lanceolata";3;"PMSF";2016-09-21;67,12;0,16;0,738;40,199;233,83;0,296;0,52;0,39;5,6;7,913523414
"250";"Myrsine coriacea";5;"Ipiranga";2016-08-08;53,9;0,15;0,736;32,1024;191,69;0,218;2,14;1,1;4,9;NA
"251";"Tapirira guianensis";3;"FURB";2016-05-02;NA;0,138;0,734;38,3132;169,67;0,276;1,23;0,54;4,5;NA
"252";"Cupania vernalis";2;"FURB";2016-04-25;58,32;0,146;0,73;53,5164;210,2;0,278;2,61;1,25;4,6;NA
"253";"Miconia cinnamomifolia";1;"Braço Paula Ramos";2016-06-09;65,16;0,18;0,726;31,1892;218,12;0,238;0,83;0,42;5,4;NA
"254";"Casearia sylvestris";3;"FURB";2016-05-02;NA;0,158;0,722;35,4622;176,94;0,23;1,36;0,75;5,1;NA
"255";"Annona emarginata";5;"Serra da Leoa";2016-09-12;52,4;0,176;0,72;39,737;200,93;0,292;1,23;0,42;5,6;NA
"256";"Ocotea aciphylla";5;"PMSF";2016-09-21;62,34;0,186;0,72;38,3646;264,85;0,302;1,77;0,86;4,7;NA
"257";"Myrceugenia ovalifolia";3;"Morro do Baú";2016-12-12;NA;0,34;0,72;25,4032;489,86;0,302;1,64;0,93;5;NA
"258";"Nectandra lanceolata";3;"Serra da Abelha";2017-05-10;NA;0,18;0,72;NA;318,66;0,294;0,91;0,23;5;NA
"259";"Pera glabrata";6;"Praia Vermelha";2017-02-09;NA;0,242;0,716;25,4834;294,02;0,266;1,4;0,66;5,2;NA
"260";"Coussarea contracta";4;"Praia Vermelha";2017-02-09;NA;0,192;0,71;30,0852;357,77;0,17;0,35;0,1;4,9;NA
"261";"Tapirira guianensis";1;"FURB";2016-05-02;NA;0,178;0,706;28,7848;228,45;0,312;3,46;1,47;4,3;NA
"262";"Aspidosperma tomentosum";2;"Ipiranga";2016-08-08;55,06;0,15;0,698;48,0872;127,56;0,25;3,2;1,94;4,7;22,95458421
"263";"Hovenia dulcis";3;"Tirolesa";2017-02-21;NA;0,118;0,694;37,3338;146;0,29;1,45;0,68;5;NA
"264";"Myrsine lancifolia";4;"Botuverá";2017-02-17;NA;0,238;0,69;NA;258,48;0,21;0,4;0,23;5,2;NA
"265";"Clethra scabra";3;"Spitzkopf";2016-04-16;45,98;0,284;0,688;29,8058;245,22;0,3;1,02;0,3;5,2;38,20689384
"266";"Coussarea contracta";3;"Morro do Baú";2016-12-12;NA;0,238;0,686;22,0366;355,51;0,188;3,2;1,76;5,7;NA
"267";"Miconia cinnamomifolia";3;"Braço Paula Ramos";2016-06-09;61,6;0,272;0,684;21,9776;156,51;0,266;0,4;0,24;4,7;NA
"268";"Schefflera angustissima";1;"PMSF";2016-06-09;60,02;0,102;0,684;44,4002;292,4;0,16;4,86;1,22;5,4;NA
"269";"Myrceugenia ovalifolia";2;"Morro do Baú";2016-12-12;NA;0,32;0,68;24,0384;477,34;0,274;2,46;1,36;5,3;NA
"270";"Amaioua guianensis";3;"PMSF";2016-09-21;58,32;0,13;0,678;42,7954;342,82;0,288;2,72;1,61;5,4;NA
"271";"Coussapoa microcarpa";2;"Braço Paula Ramos";2016-06-09;56,86;0,294;0,67;22,2872;422,07;0,266;0,74;0,45;5,3;4,395043357
"272";"Tapirira guianensis";5;"FURB";2016-05-02;NA;0,152;0,666;36,673;199,02;0,244;3,36;1,31;5,2;NA
"273";"Endlicheria paniculata";5;"Serra da Leoa";2016-09-12;57,9;0,222;0,666;32,9608;236,74;0,268;1,26;0,67;4,7;NA
"274";"Aniba firmula";5;"PMSF";2016-08-24;59,84;0,234;0,66;46,6376;301,58;0,344;1,35;0,71;4,4;NA
"275";"Aniba firmula";2;"PMSF";2016-07-13;61,4;0,122;0,658;44,0032;222,58;0,202;1,49;0,62;5,1;13,39730166
"276";"Nectandra lanceolata";5;"Serra da Abelha";2017-05-12;NA;0,202;0,652;NA;167,97;0,268;1,88;0,82;5,1;NA
"277";"Ocotea puberula";3;"Serra da Leoa";2016-09-12;61,88;0,182;0,644;28,7462;192,25;0,282;3,7;1,57;5,2;9,840754578
"278";"Platymiscium floribundum";1;"Massaranduba";2016-07-26;54,06;0,16;0,642;46,7312;363,86;0,23;1,81;1,02;4,8;2,124993258
"279";"Matayba intermedia";1;"Braço Paula Ramos";2016-06-09;65,76;0,22;0,638;NA;373,78;0,242;0,88;0,45;5,5;NA
"280";"Croton macrobothrys";5;"Serra da Leoa";2016-09-15;68,16;0,94;0,634;43,4942;115,11;0,218;1,96;0,55;4,6;1,08582898
"281";"Nectandra membranacea";3;"FURB";2016-04-25;45,76;0,172;0,632;37,2152;197,37;0,244;2,09;0,81;5,2;NA
"282";"Annona neosericea";2;"Spitzkopf";2016-04-16;58,62;0,152;0,628;38,2742;211,28;0,192;0,57;0,12;5,2;4,644482471
"283";"Cyathea corcovadensis";5;"PMSF";2016-05-23;61,04;0,152;0,628;29,5622;254,77;0,142;3,33;0,57;4,6;NA
"284";"Campomanesia reitziana";4;"Praia Vermelha";2017-02-10;NA;0,188;0,628;24,3558;237,82;0,336;1,83;1,23;4,3;NA
"285";"Guapira opposita";2;"FURB";2016-04-25;51,84;0,294;0,624;24,0532;196,91;0,122;0,8;0,37;5,6;NA
"286";"Casearia sylvestris";1;"FURB";2016-04-27;72,88;0,132;0,61;32,41;289,59;0,228;2,43;1,24;5;NA
"287";"Allophylus petiolulatus";3;"FURB";2017-05-26;NA;0,12;0,608;NA;245,39;0,27;1,2;0,33;5,3;NA
"288";"Sloanea guianensis";1;"PMSF";2016-04-06;47,8;0,2;0,6;57,96;396,92;0,28;1,16;0,73;4,8;NA
"289";"Matayba intermedia";5;"FURB";2016-04-13;66,7;0,214;0,6;26,9862;602,84;0,254;2,68;1,5;4,9;NA
"290";"Ocotea puberula";5;"Serra da Leoa";2016-09-12;58,88;0,174;0,6;31,5518;188,69;0,244;1,24;0,581;4,8;15,21852859
"291";"Casearia sylvestris";5;"Braço Paula Ramos";2016-06-09;61,66;0,15;0,598;31,313;277,64;0,232;1,02;0,34;5,9;NA
"292";"Croton macrobothrys";2;"Serra da Leoa";2016-09-12;57,82;0,146;0,592;35,9872;102,21;0,2;2,88;0,77;5,3;NA
"293";"Croton macrobothrys";4;"Serra da Leoa";2016-09-14;58,2;0,148;0,592;32,9674;118,66;0,208;2,64;0,9;5,3;NA
"294";"Myrceugenia ovalifolia";4;"Morro do Baú";2016-12-12;NA;0,268;0,592;25,4756;274,17;0,234;0,93;0,46;5,6;NA
"295";"Ocotea odorifera";1;"Braço Paula Ramos";2016-06-09;63,96;0,172;0,58;38,6248;435,17;0,254;0,72;0,32;5,6;6,535847563
"296";"Solanum sanctaecatharinae";1;"Ipiranga";2016-08-08;56,14;0,146;0,578;35,6444;190,61;0,8;1,59;0,7;5;NA
"297";"Myrcia hebepetala";6;"Botuverá";2017-02-17;NA;0,178;0,578;NA;286,81;0,228;1,21;0,67;5,2;NA
"298";"Campomanesia reitziana";2;"Braço Paula Ramos";2016-06-09;52,7;0,148;0,576;23,443;253,91;0,276;1,48;0,87;5,3;6,465685776
"299";"Cryptocarya aschersoniana";1;"FURB";2016-05-02;57,78;0,196;0,574;23,7756;374,2;0,276;1,38;0,276;5,3;9,15251647
"300";"Ilex paraguariensis";3;"Ipiranga";2016-08-08;73,46;0,296;0,574;17,2284;274,09;0,22;1,86;0,97;5,1;11,01113086
"301";"Myrsine coriacea";2;"Braço Paula Ramos";2016-06-09;60,62;0,222;0,57;22,44;185,6;0,204;0,72;0,31;5,4;NA
"302";"Cupania vernalis";4;"FURB";2016-04-25;61,46;0,146;0,566;40,9654;193,19;0,218;2,05;1,18;5,4;NA
"303";"Ocotea elegans";4;"PMSF";2016-09-21;64,62;0,178;0,564;31,0954;200,6;0,198;2,3;0,95;5,9;NA
"304";"Inga marginata";1;"FURB";2017-05-24;NA;0,14;0,562;NA;293,08;0,208;1,19;0,6;5,1;NA
"305";"Casearia sylvestris";4;"Braço Paula Ramos";2016-06-09;71,96;0,146;0,556;33,5558;NA;0,256;1,48;0,5;NA;NA
"306";"Myrsine coriacea";4;"Ipiranga";2016-08-08;56,5;0,158;0,548;25,1412;192,46;0,196;2,86;1,73;5,4;26,67651024
"307";"Annona emarginata";4;"Serra da Leoa";2016-09-12;66,58;0,16;0,546;30,2158;226,14;0,19;1,48;0,44;5;NA
"308";"Matayba intermedia";3;"FURB";2016-04-13;61;0,262;0,544;23,0802;240,68;0,21;4,25;2,33;4,3;NA
"309";"Chionanthus filiformis";3;"Morro do Baú";2016-12-12;NA;0,168;0,544;31,1016;323,95;0,192;1,45;0,99;5,6;NA
"310";"Cyathea corcovadensis";2;"PMSF";2016-05-23;59,1;0,148;0,542;26,8758;276,97;0,15;4,47;0,86;5,5;NA
"311";"Myrsine lancifolia";2;"Botuverá";2017-02-17;NA;0,19;0,542;NA;271,99;0,156;1,07;0,66;5,2;NA
"312";"Myrceugenia ovalifolia";1;"Faxinal do Bepe";2016-09-08;78,02;0,326;0,54;13,9358;503,32;0,252;NA;1,69;5,2;11,64774436
"313";"Ouratea vaccinioides";1;"Botuverá";2017-02-17;NA;0,284;0,54;NA;336,51;0,224;0,84;0,4;5,1;NA
"314";"Chrysophyllum inornatum";2;"Ipiranga";2016-08-09;62,34;0,242;0,534;22,615;496,57;0,218;1,42;1,3;4,6;4,593766757
"315";"Platymiscium floribundum";5;"Praia Vermelha";2017-02-09;NA;0,13;0,53;29,3602;254,14;0,13;0,63;0,23;5,1;NA
"316";"Aniba firmula";4;"Massaranduba";2016-07-26;64,82;0,194;0,524;26,32;332,83;0,23;2,34;1,43;5;6,086056168
"317";"Annona neosericea";3;"Spitzkopf";2016-04-17;57,38;0,156;0,52;29,8322;328,82;0,168;0,57;0,18;5,2;9,582470514
"318";"Ilex paraguariensis";5;"Ipiranga";2016-08-08;73,92;0,268;0,52;15,9002;214,07;0,2;4,2;2,21;6,5;NA
"319";"Endlicheria paniculata";4;"Ipiranga";2016-08-08;62,8;0,176;0,514;25,9368;210,7;0,2;0,7;0,37;4,8;6,072130506
"320";"Piptocarpha regnellii";5;"Serra da Leoa";2016-09-12;54,62;0,284;0,514;19,2662;353,46;0,228;1,56;0,88;5;2,346743728
"321";"Vantanea compacta";1;"Spitzkopf";2016-04-16;64,58;0,318;0,51;15,5556;336,12;0,206;1,79;0,94;5,7;NA
"322";"Annona emarginata";2;"Braço Paula Ramos";2016-06-09;64,76;0,156;0,51;39,6236;NA;0,21;0,09;0,05;4,5;30,75048284
"323";"Solanum sanctaecatharinae";3;"Ipiranga";2016-08-08;61,24;0,138;0,508;34,5214;104,53;0,142;1,79;0,68;5;NA
"324";"Ocotea elegans";2;"FURB";2016-05-02;NA;0,174;0,506;31,4038;203,76;0,218;2,81;1,59;4,8;NA
"325";"Aspidosperma tomentosum";3;"UA 803";2017-03-02;NA;0,126;0,498;31,5884;178;0,184;2,08;1,07;5,5;NA
"326";"Campomanesia reitziana";5;"Praia Vermelha";2017-02-11;NA;0,148;0,496;27,6422;261,17;0,19;0,85;0,48;4,5;NA
"327";"Chionanthus filiformis";1;"PMSF";2016-05-23;68,84;0,232;0,494;18,8798;234,64;0,13;4,74;2,06;5,5;NA
"328";"Miconia cinnamomifolia";4;"Braço Paula Ramos";2016-06-09;52,46;0,208;0,494;22,1512;156,92;0,178;0,47;0,23;5,4;NA
"329";"Ocotea aciphylla";3;"PMSF";2016-06-29;46,16;0,188;0,492;22,8396;263,81;0,236;1,45;0,84;5,4;6,054576674
"330";"Ocotea pulchra";1;"Spitzkopf";2016-04-16;54,5;0,206;0,48;22,0212;459,39;0,222;1,74;0,96;5,3;10,08892937
"331";"Matayba elaeagnoides";1;"Curitiba";2017-03-14;NA;0,19;0,478;99,545;245,2;0,188;1,17;0,52;4,8;NA
"332";"Ilex theezans";4;"Morro do Baú";2016-12-12;NA;0,346;0,476;11,2338;471,29;0,16;1,05;0,56;5,4;NA
"333";"Cupania vernalis";3;"FURB";2016-05-27;51,64;0,154;0,474;22,958;300,8;0,234;2,78;1,68;4,8;NA
"334";"Allophylus edulis";3;"FURB";2016-05-02;60,26;0,16;0,472;21,8132;131,9;0,214;1,58;1,08;4,3;17,74017831
"335";"Cupania vernalis";1;"PMSF";2016-06-04;57,6;0,23;0,47;31,4286;305,47;0,188;3,12;1,55;5,5;NA
"336";"Myrsine lancifolia";3;"Botuverá";2017-02-17;NA;0,208;0,468;NA;386,18;0,13;1,52;0,94;5,2;NA
"337";"Psychotria vellosiana";4;"FURB";2016-04-27;60,74;0,136;0,464;27,223;157,48;0,096;2,84;1,04;4,9;NA
"338";"Psychotria vellosiana";3;"FURB";2016-04-27;64,12;0,0166;0,456;23,3382;259,07;0,132;3,75;1,55;5,5;NA
"339";"Annona emarginata";3;"Faxinal do Bepe";2016-09-08;42,82;0,112;0,456;21,0346;326,02;0,202;NA;1,25;4,9;NA
"340";"Myrceugenia ovalifolia";5;"Botuverá";2017-02-17;NA;0,352;0,452;NA;477,68;0,182;1,42;0,79;5,2;NA
"341";"Aspidosperma parvifolium";3;"Morro do Baú";2016-12-12;NA;0,18;0,45;22,7668;138,52;0,114;1,55;1,14;4,8;NA
"342";"Platymiscium floribundum";3;"Serra da Leoa";2016-09-12;49,68;0,13;0,448;32,1086;220,01;0,132;1,8;1,08;5,2;2,329603015
"343";"Ocotea pulchra";3;"Botuverá";2017-02-17;NA;0,18;0,442;NA;419,94;0,154;1,02;0,52;5,1;NA
"344";"Nectandra megapotamica";5;"Praia Vermelha";2017-02-09;NA;0,14;0,44;21,7752;204,2;0,182;0,72;0,41;4,9;NA
"345";"Coussarea contracta";6;"Praia Vermelha";2017-02-09;NA;0,176;0,438;17,58;302,05;0,114;1,7;0,76;5,1;NA
"346";"Ilex paraguariensis";2;"Ipiranga";2016-08-08;72,96;0,296;0,434;5,2566;421,48;0,164;3,13;1,63;4,7;23,22788438
"347";"Annona neosericea";1;"FURB";2016-04-13;53,6;0,12;0,432;34,0996;190,31;0,15;1,3;0,43;4,9;5,241735945
"348";"Casearia sylvestris";2;"FURB";2016-05-02;69,98;0,174;0,43;19,3172;164,9;0,18;3,8;2,11;5,7;NA
"349";"Cyathea corcovadensis";3;"PMSF";2016-05-23;58,26;0,132;0,43;24,3284;272,69;0,114;2,73;0,43;4,8;NA
"350";"Croton macrobothrys";3;"Serra da Leoa";2016-09-13;59,84;0,102;0,43;35,6658;99,08;0,182;1,51;0,7;5;NA
"351";"Allophylus edulis";4;"Serra da Leoa";2016-09-12;56,98;0,128;0,428;23,7376;295,59;0,192;3,39;2,44;5,5;5,284158457
"352";"Ocotea pulchra";2;"Spitzkopf";2016-04-16;61,46;0,222;0,424;18,0988;302,81;0,198;0,7;0,29;5;NA
"353";"Aspidosperma parvifolium";1;"Morro do Baú";2016-12-12;NA;0,168;0,42;26,0134;215,33;0,134;1,62;1,01;5,3;NA
"354";"Matayba elaeagnoides";4;"Curitiba";2017-03-17;NA;0,198;0,414;77,043;341,15;0,148;1,04;0,62;5;NA
"355";"Nectandra megapotamica";3;"Braço Paula Ramos";2016-06-09;53,76;0,142;0,412;23,7624;318,51;0,182;0,29;0,11;4,9;NA
"356";"Solanum sanctaecatharinae";5;"Ipiranga";2016-08-08;58,1;0,118;0,41;26,5234;104,42;0,112;1,1;0,7;5;NA
"357";"Duguetia lanceolata";1;"PMSF";2016-08-24;63,12;0,158;0,408;24,053;369,46;0,168;2,09;1,74;4,1;NA
"358";"Chrysophyllum inornatum";1;"Ipiranga";2016-08-08;60,06;0,234;0,406;19,4482;574,16;0,142;1,59;0,95;4,6;10,78569817
"359";"Andira fraxinifolia";3;"FURB";2016-04-26;50,02;0,134;0,404;25,6406;174,2;0,16;2,23;0,86;5,8;9,032180853
"360";"Myrsine coriacea";1;"Braço Paula Ramos";2016-06-09;54,84;0,198;0,394;16,132;200,59;0,15;0,94;0,5;5,2;NA
"361";"Ilex paraguariensis";1;"Ipiranga";2016-08-08;63,04;0,288;0,394;11,82;233,28;0,146;2,49;1,2;5,2;39,60738703
"362";"Byrsonima ligustrifolia";5;"Botuverá";2017-02-17;NA;0,262;0,394;NA;437,81;0,18;1,59;0,76;5;NA
"363";"Cyathea corcovadensis";4;"PMSF";2016-05-23;69,74;0,18;0,386;18,5222;250,14;0,12;3,83;0,76;5,3;NA
"364";"Ocotea catharinensis";2;"PMSF";2016-07-13;65,88;0,11;0,382;25,4784;220,05;0,158;2,72;1,63;5,8;5,51817356
"365";"Allophylus petiolulatus";1;"FURB";2017-05-24;NA;0,08;0,382;NA;202,72;0,136;1,26;0,62;5,2;NA
"366";"Ocotea elegans";5;"PMSF";2016-09-21;66,16;0,172;0,378;21,723;213,84;0,154;3,1;1,5;5,7;0,068357743
"367";"Nectandra lanceolata";4;"Serra da Abelha";2017-05-11;NA;0,214;0,374;NA;231,57;0,152;1,08;0,43;5,1;NA
"368";"Croton macrobothrys";1;"Ipiranga";2016-08-08;46,14;0,12;0,37;22,895;49,5;0,114;1,63;0,59;4,4;NA
"369";"Ilex theezans";3;"Morro do Baú";2016-12-12;NA;0,28;0,37;9,9436;467,1;0,13;1,26;0,63;5;NA
"370";"Diatenopteryx sorbifolia";3;"Santa Terezinha";2017-05-11;NA;0,112;0,37;NA;93,83;0,034;4,14;2,74;5,3;NA
"371";"Platymiscium floribundum";4;"Serra da Leoa";2016-09-12;43,04;0,154;0,366;23,1892;290,27;0,128;1,86;1,23;5,6;NA
"372";"Schefflera angustissima";4;"Morro do Baú";2016-12-12;NA;0,29;0,366;8,859;394,35;0,116;1,8;0,65;4,9;NA
"373";"Ocotea bicolor";1;"Morro do Baú";2016-12-12;NA;0,168;0,364;17,0256;315,42;0,152;3,62;1,31;5,3;NA
"374";"Duguetia lanceolata";2;"PMSF";2016-09-21;66,02;0,14;0,362;22,354;238,38;0,158;1,85;1,28;6,2;4,619609102
"375";"Guatteria australis";5;"PMSF";2016-07-13;71,06;0,142;0,36;20,0464;468,76;0,11;0,96;0,62;5,2;NA
"376";"Cyathea gardneri";4;"Serra da Leoa";2016-09-12;82,8;0,102;0,36;16,089;38,54;0,11;4,28;0,79;5;NA
"377";"Psychotria vellosiana";1;"Spitzkopf";2016-04-16;66;0,236;0,356;12,7486;292,86;0,094;0,86;0,38;5,8;NA
"378";"Ilex paraguariensis";4;"Ipiranga";2016-08-08;70,4;0,352;0,354;9,5066;309,21;0,144;3,7;2,01;5,5;73,25427311
"379";"Hovenia dulcis";1;"Serra da Leoa";2016-09-12;35,16;0,09;0,352;30,161;103,9;0,082;3,25;1,33;5,2;1,873454285
"380";"Ocotea catharinensis";1;"PMSF";2016-04-06;69;0,18;0,35;25,6746;227,97;0,158;1,81;0,93;5;NA
"381";"Matayba elaeagnoides";3;"Curitiba";2017-03-16;NA;0,174;0,35;76,751;313,49;0,176;1,02;0,65;4,9;NA
"382";"Ocotea elegans";1;"FURB";2016-05-02;NA;0,135;0,348;20,8836;181,29;0,14;1,93;1,19;4,9;NA
"383";"Ocotea catharinensis";5;"Faxinal do Bepe";2016-09-28;67,76;0,124;0,344;26,511;251,15;0,15;0,92;0,54;4;14,78376412
"384";"Solanum sanctaecatharinae";2;"Ipiranga";2016-08-08;58,06;0,13;0,342;21,3158;70,38;0,09;1,75;0,81;5,1;4,192845447
"385";"Aspidosperma australe";3;"PMSF";2016-06-06;68,58;0,15;0,34;18,4728;237,54;0,096;3,38;1,88;5,5;NA
"386";"Hovenia dulcis";2;"Serra da Leoa";2016-09-12;38;0,09;0,34;32,7484;61,8;0,09;3,55;1,06;5,3;NA
"387";"Nectandra lanceolata";1;"Curitiba";2017-03-14;NA;0,186;0,34;40,0302;376,92;0,39;2,4;0,92;5,1;NA
"388";"Cyathea gardneri";1;"Serra da Leoa";2016-09-12;57,66;0,102;0,338;15,5264;140,81;0,076;14,55;1,84;5,5;NA
"389";"Myrcia hebepetala";1;"Spitzkopf";2016-04-16;58,2;0,158;0,336;13,2032;284,4;0,128;1,88;0,95;5,5;18,35281481
"390";"Allophylus edulis";2;"FURB";2016-04-27;37,38;0,156;0,336;15,1644;299,07;0,166;1,86;1,24;5,8;16,68480124
"391";"Ouratea vaccinioides";3;"Botuverá";2017-02-17;NA;0,196;0,336;NA;339,33;0,148;1,75;1;5,2;NA
"392";"Myrcia hebepetala";2;"Ipiranga";2016-08-08;56,8;0,156;0,332;13,1322;244,16;0,146;1,7;1,07;5,1;NA
"393";"Duguetia lanceolata";5;"UA 803";2017-03-14;NA;0,13;0,332;96,272;280,82;NA;1,21;NA;5,2;NA
"394";"Campomanesia reitziana";3;"Praia Vermelha";2017-02-09;NA;0,098;0,33;25,6592;174,27;0,138;1,58;0,94;4,3;NA
"395";"Andira fraxinifolia";2;"FURB";2016-04-25;42,18;0,17;0,326;13,2944;232,22;0,118;3,11;0,99;5;NA
"396";"Guatteria australis";2;"PMSF";2016-06-06;62,44;0,116;0,326;21,499;204,09;0,112;1,92;0,66;5,4;NA
"397";"Piptocarpha regnellii";2;"Serra da Leoa";2016-09-12;50,24;0,252;0,324;12,8618;269,31;0,144;4,49;1,79;5,5;NA
"398";"Myrsine lancifolia";1;"Botuverá";2017-02-17;NA;0,178;0,32;NA;212,05;0,106;1,7;1,08;5,1;NA
"399";"Aspidosperma australe";4;"PMSF";2016-06-07;64,4;0,19;0,316;16,7384;298,53;0,092;3,21;1,77;5,1;NA
"400";"Guatteria australis";3;"PMSF";2016-07-13;63,54;0,138;0,314;16,5248;412,8;0,11;3,04;1,83;5,5;NA
"401";"Machaerium brasiliense";5;"Tirolesa";2017-02-21;NA;0,162;0,314;18,391;259,02;0,132;1,29;0,52;5,1;NA
"402";"Nectandra megapotamica";2;"FURB";2016-05-02;NA;0,13;0,312;20,744;280,15;0,122;1,72;0,89;5,4;NA
"403";"Cabralea canjerana";4;"FURB";2016-05-02;NA;0,13;0,31;16,2242;299,2;0,112;5,11;1,78;5,3;NA
"404";"Ocotea odorifera";2;"PMSF";2016-07-13;60,92;0,108;0,31;19,1994;236,8;0,134;2,02;1,1;5,4;4,173476641
"405";"Piptocarpha regnellii";1;"Serra da Leoa";2016-09-12;54,68;0,24;0,31;12,636;333,9;0,15;1,72;0,75;5;NA
"406";"Myrsine gardneriana";3;"Ipiranga";2016-08-08;46,82;0,14;0,304;13,306;222,39;0,068;2,05;1,06;6;NA
"407";"Cyathea phalerata";1;"Ipiranga";2016-08-08;NA;0,172;0,3;15,4334;24,66;0,076;8,85;1,19;5,3;NA
"408";"Lonchocarpus campestris";3;"Tirolesa";2017-02-21;NA;0,178;0,3;14,049;201,97;0,122;0,77;0,34;5,1;NA
"409";"Lonchocarpus campestris";4;"Rodeio";2017-03-01;NA;0,154;0,3;17,623;261,38;0,112;1,21;0,59;4,6;NA
"410";"Allophylus edulis";5;"Serra da Leoa";2016-09-12;39,3;0,106;0,296;17,2864;52,69;0,076;1,99;1,23;5,5;NA
"411";"Eugenia beaurepairiana";1;"Morro do Baú";2016-12-12;NA;0,132;0,296;15,9082;267,44;0,148;1,61;1,15;5,4;NA
"412";"Matayba elaeagnoides";5;"Curitiba";2017-03-18;NA;0,158;0,294;63,953;375,61;0,12;3,32;1,56;4,6;NA
"413";"Duguetia lanceolata";4;"Tirolesa";2017-02-21;NA;0,178;0,292;12,6118;348,09;0,132;1,07;0,77;5,2;NA
"414";"Symplocos tenuifolia";3;"Santa Terezinha";2017-05-10;NA;0,168;0,292;NA;349,14;0,112;0,88;0,48;5;NA
"415";"Aspidosperma australe";5;"PMSF";2016-07-13;66,48;0,108;0,288;16,4012;264,6;0,078;0,71;0,46;5,4;6,372430943
"416";"Guatteria australis";4;"PMSF";2016-07-13;57,58;0,128;0,286;15,8784;386,55;0,102;3,91;2,56;5,5;NA
"417";"Aspidosperma parvifolium";4;"Morro do Baú";2016-12-12;NA;0,126;0,286;16,233;250,84;0,084;1,61;1,16;NA;NA
"418";"Ilex dumosa";2;"Santa Terezinha";2017-05-10;67,6;0,26;0,286;NA;338,43;0,136;1,64;0,85;5;NA
"419";"Chrysophyllum inornatum";5;"Praia Vermelha";2017-02-09;NA;0,21;0,284;12,2502;343,2;0,1;1,62;0,94;4,9;NA
"420";"Vernonanthura discolor";5;"Faxinal do Bepe";2016-09-06;42,84;0,174;0,282;16,0926;414,59;0,156;4,03;1,99;5;NA
"421";"Ouratea vaccinioides";4;"Botuverá";2017-02-17;NA;0,23;0,282;NA;343,33;0,142;0,86;0,52;5,2;NA
"422";"Lonchocarpus campestris";1;"Massaranduba";2016-07-26;51,84;0,138;0,28;19,7874;223,11;0,148;2,76;1,45;5,4;0,092951001
"423";"Chrysophyllum inornatum";3;"Praia Vermelha";2017-02-09;NA;0,178;0,28;11,78;376,71;0,082;0,94;0,5;5,3;NA
