"";"spp";"parc";"dap"
"123";"Sorocea hilariana";"FSN_Plot_006";0,1085
"124";"Chrysophyllum gonocarpum";"FSN_Plot_007";0,0516
"125";"Neomitranthes";"FSN_Plot_007";0,0357
"126";"Phyllostemonodaphne geminiflora";"FSN_Plot_007";0,0608
"127";"Euterpe edulis";"FSN_Plot_007";0,0859
"128";"Protium warmingiana";"FSN_Plot_007";0,0458
"129";"Myrcia pubipetala";"FSN_Plot_007";0,0439
"130";"Euterpe edulis";"FSN_Plot_007";0,1235
"131";"Neomitranthes";"FSN_Plot_007";0,0372
"132";"Annona neolaurifolia";"FSN_Plot_007";0,1604
"133";"Siparuna guianensis";"FSN_Plot_007";0,0844
"134";"Helicostylis tomentosa";"FSN_Plot_007";0,0318
"135";"Annona neolaurifolia";"FSN_Plot_007";0,4752
"136";"Eriotheca candolleana";"FSN_Plot_007";0,2792
"137";"Neomitranthes";"FSN_Plot_007";0,1041
"138";"Schefflera morototoni";"FSN_Plot_007";0,1824
"139";"Marlierea teuscheriana";"FSN_Plot_007";0,0875
"140";"Siparuna guianensis";"FSN_Plot_007";0,036
"141";"Siparuna guianensis";"FSN_Plot_007";0,0379
"142";"Euterpe edulis";"FSN_Plot_007";0,1181
"143";"Piper arboreum";"FSN_Plot_007";0,0372
"144";"Phyllostemonodaphne geminiflora";"FSN_Plot_007";0,1751
"145";"Chrysophyllum gonocarpum";"FSN_Plot_007";0,0487
"146";"Chrysophyllum gonocarpum";"FSN_Plot_007";0,1856
"147";"Siparuna guianensis";"FSN_Plot_007";0,0869
"148";"Euterpe edulis";"FSN_Plot_007";0,0388
"149";"Bathysa nicholsonii";"FSN_Plot_007";0,205
"150";"Pouteria caimito";"FSN_Plot_007";0,069926331
"151";"Urbanodendron verrucosum";"FSN_Plot_007";0,0898
"152";"Myrcia pallida";"FSN_Plot_008";0,0828
"153";"Rudgea myrsinifolia";"FSN_Plot_008";0,0337
"154";"Sorocea bonplandii";"FSN_Plot_008";0,0812
"155";"Swartzia myrtifolia";"FSN_Plot_008";0,0748
"156";"Myrcia pallida";"FSN_Plot_008";0,0898
"157";"Pisonia ambigua";"FSN_Plot_008";0,0395
"158";"Siparuna guianensis";"FSN_Plot_008";0,0844
"159";"Myrcia pallida";"FSN_Plot_008";0,0481
"160";"Siparuna guianensis";"FSN_Plot_008";0,0334
"161";"Guatteria australis";"FSN_Plot_008";0,2718
"162";"Sorocea bonplandii";"FSN_Plot_008";0,0325
"163";"Annona neolaurifolia";"FSN_Plot_008";0,3199
"164";"Myrciaria floribunda";"FSN_Plot_008";0,0318
"165";"Siparuna guianensis";"FSN_Plot_008";0,0455
"166";"Eugenia lambertiana";"FSN_Plot_008";0,3072
"167";"Siparuna guianensis";"FSN_Plot_008";0,0318
"168";"Siparuna guianensis";"FSN_Plot_008";0,0627
"169";"Sorocea bonplandii";"FSN_Plot_008";0,0328
"170";"Virola gardneri";"FSN_Plot_009";0,0318
"171";"Cestrum mariquitense";"FSN_Plot_009";0,0977
"172";"Siparuna guianensis";"FSN_Plot_009";0,0691
"173";"Sorocea bonplandii";"FSN_Plot_009";0,0395
"174";"Phyllostemonodaphne geminiflora";"FSN_Plot_009";0,141
"175";"Cestrum mariquitense";"FSN_Plot_009";0,0977
"176";"Guatteria australis";"FSN_Plot_009";0,056
"177";"Sorocea hilariana";"FSN_Plot_009";0,0815
"178";"Nectandra lanceolata";"FSN_Plot_009";0,0844
"179";"Monimiaceae";"FSN_Plot_009";0,0458
"180";"Matayba elaeagnoides";"FSN_Plot_009";0,2569
"181";"Protium warmingiana";"FSN_Plot_009";0,0961
"182";"Euterpe edulis";"FSN_Plot_009";0,035
"183";"Myrciaria floribunda";"FSN_Plot_009";0,0318
"184";"Tabernaemontana fuchsiaefolia";"FSN_Plot_009";0,1923
"185";"Croton floribundus";"FSN_Plot_009";0,396
"186";"Guapira opposita";"FSN_Plot_009";0,0318
"187";"Pradosia lactescens";"FSN_Plot_009";0,219
"188";"Siparuna guianensis";"FSN_Plot_009";0,072327312
"189";"Myrcia splendens";"FSN_Plot_009";0,0675
"190";"Bathysa nicholsonii";"FSN_Plot_009";0,0557
"191";"Guatteria australis";"FSN_Plot_010";0,0427
"192";"Sterculia curiosa";"FSN_Plot_010";0,1308
"193";"Siparuna guianensis";"FSN_Plot_010";0,0643
"194";"Siparuna guianensis";"FSN_Plot_010";0,0506
"195";"Marlierea teuscheriana";"FSN_Plot_010";0,0723
"196";"Sorocea bonplandii";"FSN_Plot_010";0,0637
"197";"Siparuna guianensis";"FSN_Plot_010";0,0509
"198";"Rudgea myrsinifolia";"FSN_Plot_010";0,0433
"199";"Ocotea dispersa";"FSN_Plot_010";0,0455
"200";"Guatteria villosissima";"FSN_Plot_010";0,1401
"201";"Myrsine umbellata";"FSN_Plot_010";0,0691
"202";"Sorocea hilariana";"FSN_Plot_010";0,0366
"203";"Virola gardneri";"FSN_Plot_010";0,0748
"204";"Guatteria australis";"FSN_Plot_010";0,0509
"205";"Pourouma guianensis";"FSN_Plot_010";0,2368
"206";"Protium warmingiana";"FSN_Plot_010";0,0382
"207";"Bathysa nicholsonii";"FSN_Plot_010";0,1369
"208";"Euterpe edulis";"FSN_Plot_010";0,1394
"209";"Pisonia ambigua";"FSN_Plot_010";0,0382
"210";"Copaifera langsdorffii";"FSN_Plot_010";0,0551
"211";"Sorocea bonplandii";"FSN_Plot_010";0,0512
"212";"Ocotea silvestris";"FSN_Plot_010";0,1547
"213";"Sorocea bonplandii";"FSN_Plot_011";0,1213
"214";"Matayba elaeagnoides";"FSN_Plot_011";0,0411
"215";"Astronium fraxinifolium";"FSN_Plot_011";0,0567
"216";"Cariniana estrellensis";"FSN_Plot_011";0,0812
"217";"Aniba firmula";"FSN_Plot_011";0,0907
"218";"Hirtella hebeclada";"FSN_Plot_011";0,0532
"219";"Alseis floribunda";"FSN_Plot_011";0,0996
"220";"Virola gardneri";"FSN_Plot_011";0,0637
"221";"Marlierea excoriata";"FSN_Plot_011";0,0716
"222";"Myrciaria floribunda";"FSN_Plot_011";0,0684
"223";"Astronium graveolens";"FSN_Plot_011";0,0427
"224";"Sorocea bonplandii";"FSN_Plot_011";0,0376
"225";"Brosimum guianense";"FSN_Plot_011";0,1003
"226";"Guapira opposita";"FSN_Plot_011";0,0404
"227";"Pseudopiptadenia contorta";"FSN_Plot_011";0,0618
"228";"Astronium graveolens";"FSN_Plot_011";0,0605
"229";"Apuleia leiocarpa";"FSN_Plot_011";0,1082
"230";"Sorocea bonplandii";"FSN_Plot_011";0,0471
"231";"Protium warmingiana";"FSN_Plot_011";0,1837
"232";"Machaerium nyctitans";"FSN_Plot_011";0,2292
"233";"Ixora gardneriana";"FSN_Plot_011";0,0347
"234";"Ocotea dispersa";"FSN_Plot_011";0,0328
"235";"Eriotheca candolleana";"FSN_Plot_011";0,0949
"236";"Protium warmingiana";"FSN_Plot_011";0,1397
"237";"Pseudopiptadenia contorta";"FSN_Plot_011";0,0573
"238";"Sorocea bonplandii";"FSN_Plot_011";0,2546
"239";"Ficus luschnathiana";"FSN_Plot_011";0,1337
"240";"Pseudopiptadenia contorta";"FSN_Plot_011";0,0522
"241";"Copaifera langsdorffii";"FSN_Plot_011";0,0637
"242";"Astronium graveolens";"FSN_Plot_011";0,0341
"243";"Virola bicuhyba";"FSN_Plot_012";0,121
"244";"Guettarda viburnoides";"FSN_Plot_012";0,2231
"245";"Myrciaria floribunda";"FSN_Plot_012";0,0633
"246";"Sterculia curiosa";"FSN_Plot_012";0,0411
"247";"Siparuna guianensis";"FSN_Plot_012";0,0471
"248";"Myrciaria floribunda";"FSN_Plot_012";0,035
"249";"Calyptranthes brasiliensis";"FSN_Plot_012";0,0341
"250";"Marlierea teuscheriana";"FSN_Plot_012";0,1248
"251";"Sorocea bonplandii";"FSN_Plot_012";0,2785
"252";"Trichilia glabra";"FSN_Plot_012";0,0541
"253";"Piptadenia gonoacantha";"FSN_Plot_012";0,2928
"254";"Brosimum guianense";"FSN_Plot_012";0,0547
"255";"Phyllostemonodaphne geminiflora";"FSN_Plot_012";0,0563
"256";"Phyllostemonodaphne geminiflora";"FSN_Plot_012";0,0497
"257";"Jacaratia spinosa";"FSN_Plot_012";0,2069
"258";"Guatteria australis";"FSN_Plot_012";0,3556
"259";"Virola gardneri";"FSN_Plot_012";0,071
"260";"Myrciaria floribunda";"FSN_Plot_012";0,0366
"261";"Myrcia splendens";"FSN_Plot_012";0,0417
"262";"Myrcia pallida";"FSN_Plot_012";0,0366
"263";"Pouteria caimito";"FSN_Plot_012";0,049
"264";"Myrcia pallida";"FSN_Plot_013";0,0363
"265";"Annona neolaurifolia";"FSN_Plot_013";0,0999
"266";"Chrysophyllum gonocarpum";"FSN_Plot_013";0,035
"267";"Siparuna guianensis";"FSN_Plot_013";0,0398
"268";"Siparuna guianensis";"FSN_Plot_013";0,0455
"269";"Siparuna guianensis";"FSN_Plot_013";0,0363
"270";"Siparuna guianensis";"FSN_Plot_013";0,0477
"271";"Chrysophyllum gonocarpum";"FSN_Plot_013";0,0834
"272";"Myrcia pallida";"FSN_Plot_013";0,0318
"273";"Siparuna guianensis";"FSN_Plot_013";0,0353
"274";"Hirtella hebeclada";"FSN_Plot_013";0,0318
"275";"Casearia ulmifolia";"FSN_Plot_013";0,0557
"276";"Macrothumia kuhlmannii";"FSN_Plot_013";0,387794715
"277";"Myrcia pallida";"FSN_Plot_013";0,0468
"278";"Marlierea excoriata";"FSN_Plot_013";0,0465
"279";"Siparuna guianensis";"FSN_Plot_013";0,0446
"280";"Eriotheca candolleana";"FSN_Plot_013";0,0325
"281";"Siparuna guianensis";"FSN_Plot_013";0,0366
"282";"Sorocea bonplandii";"FSN_Plot_013";0,0996
"283";"Trichilia catigua";"FSN_Plot_013";0,0407
"284";"Chrysophyllum gonocarpum";"FSN_Plot_013";0,0452
"285";"Ixora gardneriana";"FSN_Plot_013";0,2569
"286";"Urbanodendron verrucosum";"FSN_Plot_013";0,0334
"287";"Guatteria australis";"FSN_Plot_013";0,3323
"288";"Psychotria rhytidocarpa";"FSN_Plot_014";0,0404
"289";"Siparuna guianensis";"FSN_Plot_014";0,0452
"290";"Helicostylis tomentosa";"FSN_Plot_014";0,0748
"291";"Inga capitata";"FSN_Plot_014";0,0446
"292";"Myrciaria floribunda";"FSN_Plot_014";0,0382
"293";"Chrysophyllum";"FSN_Plot_014";0,0955
"294";"Chrysophyllum gonocarpum";"FSN_Plot_014";0,0357
"295";"Protium warmingiana";"FSN_Plot_014";0,2925
"296";"Myrcia pallida";"FSN_Plot_014";0,0583
"297";"Bathysa nicholsonii";"FSN_Plot_014";0,0522
"298";"Neomitranthes";"FSN_Plot_014";0,0382
"299";"Aniba firmula";"FSN_Plot_014";0,0723
"300";"Colubrina glandulosa";"FSN_Plot_014";0,2737
"301";"Guatteria australis";"FSN_Plot_014";0,1464
"302";"Siparuna guianensis";"FSN_Plot_014";0,0353
"303";"Marlierea excoriata";"FSN_Plot_014";0,0439
"304";"Myrcia laxiflora";"FSN_Plot_014";0,0392
"305";"Neomitranthes";"FSN_Plot_014";0,0783
"306";"Siparuna guianensis";"FSN_Plot_014";0,0942
"307";"Calyptranthes brasiliensis";"FSN_Plot_014";0,0618
"308";"Pourouma guianensis";"FSN_Plot_014";0,3148
"309";"Coussapoa microcarpa";"FSN_Plot_014";0,2706
"310";"Marlierea suaveolens";"FSN_Plot_014";0,2257
"311";"Siparuna guianensis";"FSN_Plot_015";0,0541
"312";"Cupania vernalis";"FSN_Plot_015";0,1057
"313";"Bathysa nicholsonii";"FSN_Plot_015";0,0694
"314";"Trichilia glabra";"FSN_Plot_015";0,0369
"315";"Alseis floribunda";"FSN_Plot_015";0,0328
"316";"Myrciaria floribunda";"FSN_Plot_015";0,0357
"317";"Pseudopiptadenia contorta";"FSN_Plot_015";0,0372
"318";"Siparuna guianensis";"FSN_Plot_015";0,0455
"319";"Brunfelsia uniflora";"FSN_Plot_015";0,0458
"320";"Casearia ulmifolia";"FSN_Plot_015";0,142
"321";"Siparuna guianensis";"FSN_Plot_015";0,0372
"322";"Psychotria carthagenensis";"FSN_Plot_015";0,07
"323";"Tetrastylidium grandifolium";"FSN_Plot_015";0,0318
"324";"Sorocea bonplandii";"FSN_Plot_015";0,2238
"325";"Pseudopiptadenia contorta";"FSN_Plot_015";0,2505
"326";"Guarea macrophylla";"FSN_Plot_016";0,2365
"327";"Brosimum guianense";"FSN_Plot_016";0,0891
"328";"Myrciaria floribunda";"FSN_Plot_016";0,0516
"329";"Amaioua guianensis";"FSN_Plot_016";0,0688
"330";"Myrcia pubipetala";"FSN_Plot_016";0,0955
"331";"Calyptranthes brasiliensis";"FSN_Plot_016";0,0325
"332";"Marlierea teuscheriana";"FSN_Plot_016";0,0528
"333";"Siparuna guianensis";"FSN_Plot_016";0,0999
"334";"Maytenus robusta";"FSN_Plot_016";0,0649
"335";"Virola gardneri";"FSN_Plot_016";0,2091
"336";"Alseis floribunda";"FSN_Plot_016";0,042
"337";"Virola gardneri";"FSN_Plot_016";0,6217
"338";"Myrcia pubipetala";"FSN_Plot_016";0,0939
"339";"Sterculia curiosa";"FSN_Plot_016";0,1346
"340";"Myrcia anceps";"FSN_Plot_016";0,0611
"341";"Aniba firmula";"FSN_Plot_016";0,1375
"342";"Guarea macrophylla";"FSN_Plot_016";0,3406
"343";"Sorocea bonplandii";"FSN_Plot_016";0,1248
"344";"Alchornea glandulosa";"FSN_Plot_016";0,2642
"345";"Myrcia splendens";"FSN_Plot_016";0,0605
"346";"Protium warmingiana";"FSN_Plot_016";0,0372
"347";"Myrcia splendens";"FSN_Plot_016";0,0357
"348";"Allophylus";"FSN_Plot_016";0,3259
"349";"Garcinia gardneriana";"FSN_Plot_016";0,0649
"350";"Guapira hirsuta";"FSN_Plot_016";0,042
"351";"Sorocea bonplandii";"FSN_Plot_017";0,0363
"352";"Marlierea excoriata";"FSN_Plot_017";0,0357
"353";"Maprounea guianensis";"FSN_Plot_017";0,2578
"354";"Pourouma guianensis";"FSN_Plot_017";0,2566
"355";"Oleaceae";"FSN_Plot_017";0,0321
"356";"Genipa americana";"FSN_Plot_017";0,2531
"357";"Annona cacans";"FSN_Plot_017";0,4011
"358";"Eugenia leptoclada";"FSN_Plot_017";0,0799
"359";"Siparuna guianensis";"FSN_Plot_017";0,0668
"360";"Piper arboreum";"FSN_Plot_017";0,0484
"361";"Pseudopiptadenia contorta";"FSN_Plot_017";0,8563
"362";"Helicostylis tomentosa";"FSN_Plot_017";0,0497
"363";"Helicostylis tomentosa";"FSN_Plot_017";0,0726
"364";"Siparuna guianensis";"FSN_Plot_017";0,0547
"365";"Guatteria australis";"FSN_Plot_017";0,0544
"366";"Aspidosperma polyneuron";"FSN_Plot_017";0,0341
"367";"Euphorbiaceae";"FSN_Plot_017";0,0427
"368";"Neomitranthes";"FSN_Plot_017";0,1289
"369";"Hirtella hebeclada";"FSN_Plot_018";0,1245
"370";"Bathysa nicholsonii";"FSN_Plot_018";0,1187
"371";"Virola gardneri";"FSN_Plot_018";0,0506
"372";"Siparuna guianensis";"FSN_Plot_018";0,0427
"373";"Croton floribundus";"FSN_Plot_018";0,0812
"374";"Kielmeyera albopunctata";"FSN_Plot_018";0,2935
"375";"Amaioua guianensis";"FSN_Plot_018";0,043
"376";"Trichilia glabra";"FSN_Plot_018";0,0372
"377";"Tovomitopsis saldanhae";"FSN_Plot_018";0,0446
"378";"Guatteria australis";"FSN_Plot_018";0,3189
"379";"Virola bicuhyba";"FSN_Plot_018";0,1646
"380";"Bathysa nicholsonii";"FSN_Plot_018";0,0395
"381";"Protium warmingiana";"FSN_Plot_018";0,0471
"382";"Siparuna guianensis";"FSN_Plot_018";0,0544
"383";"Protium warmingiana";"FSN_Plot_019";0,0563
"384";"Phyllostemonodaphne geminiflora";"FSN_Plot_019";0,0414
"385";"Piptadenia gonoacantha";"FSN_Plot_019";0,0471
"386";"Protium warmingiana";"FSN_Plot_019";0,1735
"387";"Siparuna guianensis";"FSN_Plot_019";0,0321
"388";"Ficus gomelleira";"FSN_Plot_019";1,9863
"389";"Piper arboreum";"FSN_Plot_019";0,0684
"390";"Citronella megaphylla";"FSN_Plot_019";0,0388
"391";"Guapira opposita";"FSN_Plot_019";0,1187
"392";"Sorocea bonplandii";"FSN_Plot_019";0,0637
"393";"Marlierea teuscheriana";"FSN_Plot_020";0,0446
"394";"Sorocea bonplandii";"FSN_Plot_020";0,0939
"395";"Protium warmingiana";"FSN_Plot_020";0,0407
"396";"Urbanodendron verrucosum";"FSN_Plot_020";0,049
"397";"Piper arboreum";"FSN_Plot_020";0,0497
"398";"Tovomita glazioviana";"FSN_Plot_020";0,0748
"399";"Ocotea dispersa";"FSN_Plot_020";0,0751
"400";"Myrciaria floribunda";"FSN_Plot_020";0,0589
"401";"Ocotea odorifera";"FSN_Plot_020";0,0598
"402";"Guarea macrophylla";"FSN_Plot_020";0,0465
"403";"Amaioua guianensis";"FSN_Plot_020";0,056
"404";"Maytenus robusta";"FSN_Plot_020";0,0382
"405";"Protium warmingiana";"FSN_Plot_020";0,035
"406";"Bathysa nicholsonii";"FSN_Plot_020";0,4536
"407";"Eugenia lambertiana";"FSN_Plot_020";0,0344
"408";"Helicostylis tomentosa";"FSN_Plot_020";0,1257
"409";"Myrciaria floribunda";"FSN_Plot_020";0,0589
"410";"";"FSN_Plot_020";0,2375
"411";"Pseudopiptadenia contorta";"FSN_Plot_021";0,1474
"412";"Trichilia catigua";"FSN_Plot_021";0,078
"413";"Dalbergia nigra";"FSN_Plot_021";0,3167
"414";"Calyptranthes brasiliensis";"FSN_Plot_021";0,0388
"415";"Guarea macrophylla";"FSN_Plot_021";0,0433
"416";"Sorocea bonplandii";"FSN_Plot_021";0,0964
"417";"Ocotea dispersa";"FSN_Plot_021";0,0484
"418";"Siparuna guianensis";"FSN_Plot_021";0,0363
"419";"Protium warmingiana";"FSN_Plot_021";0,1487
"420";"Ixora gardneriana";"FSN_Plot_021";0,2429
"421";"Siparuna guianensis";"FSN_Plot_021";0,0598
"422";"Sorocea bonplandii";"FSN_Plot_021";0,389
"423";"Myrciaria floribunda";"FSN_Plot_021";0,0404
"424";"Protium warmingiana";"FSN_Plot_021";0,0442
"425";"Guatteria australis";"FSN_Plot_021";0,191
"426";"Casearia ulmifolia";"FSN_Plot_021";0,0417
"427";"Pseudopiptadenia contorta";"FSN_Plot_021";0,1483
"428";"Sterculia curiosa";"FSN_Plot_021";0,0337
"429";"Siparuna guianensis";"FSN_Plot_022";0,0719
"430";"Phyllostemonodaphne geminiflora";"FSN_Plot_022";0,0627
"431";"Pseudopiptadenia contorta";"FSN_Plot_022";0,1378
"432";"Guapira opposita";"FSN_Plot_022";0,049
"433";"Psychotria carthagenensis";"FSN_Plot_022";0,2209
"434";"Cordia sellowiana";"FSN_Plot_022";0,1639
"435";"Sterculia curiosa";"FSN_Plot_022";0,869
"436";"Pseudopiptadenia contorta";"FSN_Plot_022";0,1576
"437";"Ocotea silvestris";"FSN_Plot_022";0,0477
"438";"Ocotea odorifera";"FSN_Plot_022";0,1031
"439";"Trichilia catigua";"FSN_Plot_022";0,1041
"440";"Aspidosperma olivaceum";"FSN_Plot_022";0,0694
"441";"Myrcia laxiflora";"FSN_Plot_022";0,0318
"442";"Sorocea bonplandii";"FSN_Plot_022";0,1092
"443";"Citronella megaphylla";"FSN_Plot_022";0,0532
"444";"Myrcia pallida";"FSN_Plot_022";0,0366
"445";"Siparuna guianensis";"FSN_Plot_022";0,0506
"446";"Myrcia pubipetala";"FSN_Plot_022";0,05
"447";"Protium warmingiana";"FSN_Plot_022";0,1515
"448";"Pourouma guianensis";"FSN_Plot_022";0,1888
"449";"Siparuna guianensis";"FSN_Plot_022";0,0392
"450";"Maytenus robusta";"FSN_Plot_022";0,0334
"451";"Siparuna guianensis";"FSN_Plot_022";0,0493
"452";"Maytenus robusta";"FSN_Plot_023";0,0471
"453";"Marlierea teuscheriana";"FSN_Plot_023";0,0796
"454";"Guarea pendula";"FSN_Plot_023";0,0318
"455";"Siparuna guianensis";"FSN_Plot_023";0,0442
"456";"Cordia sellowiana";"FSN_Plot_023";0,1655
"457";"Eugenia lambertiana";"FSN_Plot_023";0,057272389
