"";"spp";"parc";"dap"
"1";"Guatteria australis";"FSN_Plot_001";0,2722
"2";"Virola gardneri";"FSN_Plot_001";0,0891
"3";"Trichilia glabra";"FSN_Plot_001";0,0477
"4";"Guatteria australis";"FSN_Plot_001";0,0462
"5";"Hirtella hebeclada";"FSN_Plot_001";0,2626
"6";"Calyptranthes brasiliensis";"FSN_Plot_001";0,043
"7";"Aniba firmula";"FSN_Plot_001";0,0366
"8";"Sterculia curiosa";"FSN_Plot_001";0,2626
"9";"Sorocea bonplandii";"FSN_Plot_001";0,1448
"10";"Sorocea bonplandii";"FSN_Plot_001";0,0484
"11";"Marlierea excoriata";"FSN_Plot_001";0,0446
"12";"Guatteria australis";"FSN_Plot_001";0,1751
"13";"Marlierea excoriata";"FSN_Plot_001";0,0328
"14";"Matayba elaeagnoides";"FSN_Plot_001";0,0707
"15";"Sorocea bonplandii";"FSN_Plot_001";0,1194
"16";"Sorocea bonplandii";"FSN_Plot_001";0,0458
"17";"Ocotea dispersa";"FSN_Plot_001";0,0493
"18";"Brosimum guianense";"FSN_Plot_001";0,0433
"19";"Astronium graveolens";"FSN_Plot_001";0,0363
"20";"Ocotea odorifera";"FSN_Plot_001";0,05
"21";"Pseudopiptadenia contorta";"FSN_Plot_001";0,2451
"22";"Matayba elaeagnoides";"FSN_Plot_001";0,4179
"23";"Pouteria caimito";"FSN_Plot_001";0,0684
"24";"Siparuna guianensis";"FSN_Plot_002";0,0624
"25";"Myrcia pubipetala";"FSN_Plot_002";0,0401
"26";"Siparuna guianensis";"FSN_Plot_002";0,0331
"27";"Protium warmingiana";"FSN_Plot_002";0,1168
"28";"Ocotea odorifera";"FSN_Plot_002";0,1178
"29";"Guatteria australis";"FSN_Plot_002";0,2435
"30";"Chrysophyllum gonocarpum";"FSN_Plot_002";0,0707
"31";"Calyptranthes brasiliensis";"FSN_Plot_002";0,0404
"32";"Siparuna guianensis";"FSN_Plot_002";0,0344
"33";"Chrysophyllum gonocarpum";"FSN_Plot_002";0,0509
"34";"Chrysophyllum gonocarpum";"FSN_Plot_002";0,056
"35";"Astronium graveolens";"FSN_Plot_002";1,1173
"36";"Siparuna guianensis";"FSN_Plot_002";0,0901
"37";"Erythroxylum pelleterianum";"FSN_Plot_002";0,0595
"38";"Bathysa nicholsonii";"FSN_Plot_002";0,043
"39";"Bathysa nicholsonii";"FSN_Plot_002";0,0828
"40";"Siparuna guianensis";"FSN_Plot_002";0,0716
"41";"Myrciaria floribunda";"FSN_Plot_002";0,0417
"42";"Phyllostemonodaphne geminiflora";"FSN_Plot_002";0,1359
"43";"Swartzia myrtifolia";"FSN_Plot_002";0,0866
"44";"Myrciaria floribunda";"FSN_Plot_002";0,0446
"45";"Sorocea bonplandii";"FSN_Plot_002";0,1448
"46";"Sorocea bonplandii";"FSN_Plot_002";0,0885
"47";"Virola gardneri";"FSN_Plot_002";0,1795
"48";"Aniba firmula";"FSN_Plot_002";0,0525
"49";"Tapirira guianensis";"FSN_Plot_002";0,1416
"50";"Myrciaria floribunda";"FSN_Plot_003";0,0716
"51";"Myrciaria floribunda";"FSN_Plot_003";0,056
"52";"Trichilia glabra";"FSN_Plot_003";0,0713
"53";"Pourouma guianensis";"FSN_Plot_003";0,1623
"54";"Virola gardneri";"FSN_Plot_003";0,0828
"55";"Protium warmingiana";"FSN_Plot_003";0,0337
"56";"Croton floribundus";"FSN_Plot_003";0,1101
"57";"Citronella megaphylla";"FSN_Plot_003";0,0382
"58";"Chrysophyllum gonocarpum";"FSN_Plot_003";0,2928
"59";"Calyptranthes brasiliensis";"FSN_Plot_003";0,0318
"60";"Virola gardneri";"FSN_Plot_003";0,0694
"61";"Myrciaria floribunda";"FSN_Plot_003";0,0321
"62";"Brosimum guianense";"FSN_Plot_003";0,0949
"63";"Chrysophyllum gonocarpum";"FSN_Plot_003";0,0939
"64";"Swartzia myrtifolia";"FSN_Plot_003";0,1394
"65";"Chrysophyllum gonocarpum";"FSN_Plot_003";0,0707
"66";"Rudgea myrsinifolia";"FSN_Plot_003";0,035
"67";"Siparuna guianensis";"FSN_Plot_003";0,0888
"68";"Calyptranthes brasiliensis";"FSN_Plot_003";0,2817
"69";"Vernonanthura diffusa";"FSN_Plot_003";0,0987
"70";"Chrysophyllum gonocarpum";"FSN_Plot_003";0,071
"71";"Chrysophyllum gonocarpum";"FSN_Plot_003";0,0439
"72";"Virola gardneri";"FSN_Plot_003";0,304
"73";"Brosimum guianense";"FSN_Plot_003";0,0509
"74";"Chrysophyllum gonocarpum";"FSN_Plot_004";0,0831
"75";"Chrysophyllum gonocarpum";"FSN_Plot_004";0,0414
"76";"Myrcia splendens";"FSN_Plot_004";0,1038
"77";"Guatteria australis";"FSN_Plot_004";0,0796
"78";"Myrciaria floribunda";"FSN_Plot_004";0,043
"79";"Siparuna guianensis";"FSN_Plot_004";0,0388
"80";"Pouteria caimito";"FSN_Plot_004";0,0497
"81";"Eriotheca candolleana";"FSN_Plot_004";0,347
"82";"Trichilia glabra";"FSN_Plot_004";0,0369
"83";"Siparuna guianensis";"FSN_Plot_004";0,043
"84";"Bathysa nicholsonii";"FSN_Plot_004";0,0643
"85";"Tovomitopsis saldanhae";"FSN_Plot_004";0,0653
"86";"Ocotea odorifera";"FSN_Plot_004";0,104276076
"87";"Bathysa nicholsonii";"FSN_Plot_004";0,0353
"88";"Mouriri glazioviana";"FSN_Plot_004";0,0595
"89";"Guapira opposita";"FSN_Plot_004";0,0764
"90";"Croton floribundus";"FSN_Plot_004";0,3858
"91";"Myrciaria floribunda";"FSN_Plot_004";0,0474
"92";"Calyptranthes brasiliensis";"FSN_Plot_004";0,1276
"93";"Siparuna guianensis";"FSN_Plot_004";0,0544
"94";"Guatteria australis";"FSN_Plot_005";0,3116
"95";"Protium warmingiana";"FSN_Plot_005";0,1534
"96";"Sorocea hilariana";"FSN_Plot_005";0,0538
"97";"Protium warmingiana";"FSN_Plot_005";0,1257
"98";"Myrcia pallida";"FSN_Plot_005";0,0824
"99";"Siparuna guianensis";"FSN_Plot_005";0,054558025
"100";"Swartzia myrtifolia";"FSN_Plot_005";0,0334
"101";"Pisonia ambigua";"FSN_Plot_005";0,1662
"102";"Chrysophyllum gonocarpum";"FSN_Plot_005";0,0369
"103";"Heisteria silvianii";"FSN_Plot_005";0,0738
"104";"Bathysa nicholsonii";"FSN_Plot_006";0,1286
"105";"Casearia ulmifolia";"FSN_Plot_006";0,2206
"106";"Chrysophyllum gonocarpum";"FSN_Plot_006";0,1066
"107";"Neomitranthes";"FSN_Plot_006";0,0404
"108";"Virola gardneri";"FSN_Plot_006";0,0484
"109";"Marlierea excoriata";"FSN_Plot_006";0,0417
"110";"Neomitranthes";"FSN_Plot_006";0,0538
"111";"Sorocea bonplandii";"FSN_Plot_006";0,1722
"112";"Marlierea excoriata";"FSN_Plot_006";0,0382
"113";"Calyptranthes brasiliensis";"FSN_Plot_006";0,042
"114";"Rudgea myrsinifolia";"FSN_Plot_006";0,0414
"115";"Bathysa nicholsonii";"FSN_Plot_006";0,0411
"116";"Neomitranthes";"FSN_Plot_006";0,0547
"117";"Marlierea teuscheriana";"FSN_Plot_006";0,106
"118";"Sapium glandulosum";"FSN_Plot_006";0,2187
"119";"Virola bicuhyba";"FSN_Plot_006";0,1076
"120";"Sorocea hilariana";"FSN_Plot_006";0,0939
"121";"Virola bicuhyba";"FSN_Plot_006";0,1311
"122";"Marlierea teuscheriana";"FSN_Plot_006";0,0735
