UA;Agonandra excelsa;Alsophila setosa;Annona emarginata;Aspidosperma parvifolium;Byrsonima ligustrifolia;Calyptranthes concinna;Campomanesia xanthocarpa;Casearia sylvestris;Cedrela fissilis;Cinnamomum sellowianum;Clethra scabra;Cryptocarya aschersoniana;Cryptocarya mandioccana;Cupania vernalis;Cyathea corcovadensis;Cyathea phalerata;Dalbergia brasiliensis;Eugenia involucrata;Gochnatia polymorpha;Guatteria australis;Ilex brevicuspis;Ilex dumosa;Ilex theezans;Jacaranda micrantha;Lithrea brasiliensis;Machaerium hirtum;Matayba intermedia;Mollinedia clavigera;Myrcia catharinensis;Myrcia palustris;Myrcia splendens;Myrsine coriacea;Myrsine gardneriana;Myrsine parvula;Myrsine umbellata;Nectandra lanceolata;Ocotea glaziovii;Ocotea indecora;Ocotea nectandrifolia;Ocotea odorifera;Ocotea porosa;Ocotea puberula;Ocotea silvestris;Pinus elliottii;Piptocarpha axillaris;Piptocarpha regnellii;Psychotria vellosiana;Roupala montana;Syagrus romanzoffiana;Vernonanthura discolor;Alchornea triplinervia;Cabralea canjerana;Chionanthus trichotomus;Cinnamodendron dinisii;Coussarea contracta;Dicksonia sellowiana;Drimys brasiliensis;Ilex paraguariensis;Lamanonia ternata;Meliosma sellowii;Myrcia pulchra;Myrcia retorta;Nectandra megapotamica;Ocotea corymbosa;Ocotea daphnifolia;Ocotea pulchella;Persea alba;Persea willdenovii;Piptocarpha angustifolia;Prunus myrtifolia;Symplocos glandulosomarginata;Symplocos tetrandra;Tibouchina sellowiana;Albizia edwallii;Allophylus edulis;Aniba firmula;Annona cacans;Annona neosalicifolia;Annona sylvatica;Calyptranthes grandifolia;Cordia ecalyculata;Eugenia multicostata;Eugenia ramboi;Ficus luschnathiana;Hovenia dulcis;Inga marginata;Lonchocarpus cultratus;Luehea divaricata;Machaerium stipitatum;Myrcia pubipetala;Myrocarpus frondosus;Ocotea catharinensis;Piptadenia paniculata;Pseudobombax grandiflorum;Ruprechtia laxiflora;Schefflera morototoni;Schinus terebinthifolius;Seguieria aculeata;Sessea regnellii;Solanum sanctaecatharinae;Sorocea bonplandii;Tabernaemontana catharinensis;Tetrorchidium rubrivenium;Zollernia ilicifolia;Aspidosperma australe;Casearia decandra;Chionanthus micranthus;Cinnamomum ;Cinnamomum hatschbachii;Coccoloba warmingii;Erythroxylum cuneifolium;Inga sessilis;Jacaranda puberula;Myrceugenia myrcioides;Myrcia brasiliensis;Myrcia guianensis;Nectandra puberula;Ocotea bicolor;Ocotea vaccinioides;Ormosia arborea;Pera glabrata;Pimenta pseudocaryophyllus;Piptocarpha organensis;Plinia pseudodichasiantha;Posoqueria latifolia;Pterocarpus rohrii;Schefflera angustissima;Sloanea hirsuta;Solanum bullatum;Styrax acuminatus;Symplocos tenuifolia;Zanthoxylum rhoifolium;Alseis floribunda;Casearia obliqua;Chionanthus filiformis;Chrysophyllum gonocarpum;Chrysophyllum inornatum;Chrysophyllum viride;Cinnamomum glaziovii;Citronella paniculata;Copaifera trapezifolia;Coutarea hexandra;Duguetia lanceolata;Eugenia beaurepairiana;Eugenia cereja;Eugenia handroana;Eugenia rostrifolia;Guapira opposita;Heisteria silvianii;Machaerium paraguariense;Maytenus gonoclada;Mollinedia triflora;Muellera campestris;Myrcia anacardiifolia;Myrcia glabra;Myrcia neotomentosa;Nectandra oppositifolia;Ocotea elegans;Pisonia ambigua;Plinia rivularis;Trema micrantha;Cordiera concolor;Daphnopsis fasciculata;Erythroxylum deciduum;Ficus cestrifolia;Ilex microdonta;Machaerium brasiliense;Myrcia aethusa;Myrcia excoriata;Nectandra grandiflora;Sapium glandulosum;Weinmannia paulliniifolia;Alchornea glandulosa;Alchornea sidifolia;Annona neosericea;Bathysa australis;Coussapoa microcarpa;Cyathea delgadii;Endlicheria paniculata;Ficus adhatodifolia;Guarea macrophylla;Hieronyma alchorneoides;Nectandra leucantha;Seguieria langsdorffii;Solanum pseudoquina;Aspidosperma tomentosum;Campomanesia guaviroba;Magnolia ovata;Matayba elaeagnoides;Miconia cabucu;Nectandra membranacea;Ocotea mandioccana;Xylosma pseudosalzmannii;Abarema langsdorffii;Boehmeria caudata;Buchenavia kleinii;Calyptranthes lucida;Chrysophyllum marginatum;Eugenia verticillata;Euterpe edulis;Phytolacca dioica;Vernonanthura divaricata;Vernonanthura puberula;Actinostemon concolor;Aiouea saligna;Brosimum lactescens;Eugenia bacopari;Faramea montevidensis;Hirtella hebeclada;Miconia budlejoides;Myrcia neoriedeliana;Myrcia tijucensis;Pausandra morisiana;Protium kleinii;Psychotria nuda;Rudgea jasminoides;Tapirira guianensis;Virola bicuhyba;Xylopia brasiliensis;Aegiphila integrifolia;Amaioua guianensis;Aspidosperma ramiflorum;Cecropia glaziovii;Eugenia brevistyla;Eugenia kleinii;Inga sellowiana;Inga vera;Jacaratia spinosa;Marlierea silvatica;Maytenus muelleri;Neomitranthes glomerata;Sloanea guianensis;Trichilia lepidota;Calyptranthes strigipes;Clusia criuva;Cordia silvestris;Dalbergia frutescens;Garcinia gardneriana;Miconia cinnamomifolia;Myrceugenia ovalifolia;Myrcia dichrophylla;Myrcia spectabilis;Myrsine lancifolia;Ocotea aciphylla;Ocotea lanata;Ocotea lancifolia;Ocotea pulchra;Podocarpus sellowii;Psidium longipetiolatum;Psidium myrtoides;Vantanea compacta;Clethra uleana;Esenbeckia grandiflora;Eugenia brasiliensis;Eugenia cerasiflora;Laplacea fructicosa;Ouratea parviflora;Blepharocalyx salicifolius;Calyptranthes pileata;Eugenia melanogyna;Miconia cubatanensis;Myrceugenia bracteosa;Myrceugenia seriatoramosa;Ouratea vaccinioides;Pouteria venosa;Siphoneugena reitzii;Tibouchina dusenii;Mollinedia schottiana;Myrcia undulata;Tocoyena sellowiana;Vitex megapotamica;Bauhinia forficata;Campomanesia reitziana;Eugenia excelsa;Eugenia neoverrucosa;Solanum rufescens;Podocarpus lambertii;Andira fraxinifolia;Aparisthmium cordatum;Brosimum glaziovii;Ficus gomelleira;Handroanthus umbellatus;Maclura tinctoria;Piptadenia gonoacantha;Platymiscium floribundum;Psychotria carthagenensis;Schizolobium parahyba;Casearia lasiophylla;Luetzelburgia guaissara;Mimosa scabrella;Mollinedia blumenaviana;Myrceugenia cucullata;Solanum reitzii;Eugenia umbellata;Myrciaria floribunda;Cariniana estrellensis;Cinnamomum triplinerve;Erythrina falcata;Inga edulis;Tibouchina pulchra;Vernonanthura montevidensis;Miconia valtheri;Cinnamomum pseudoglaziovii;Eugenia nutans;Myrcia heringii;Psychotria suterella;Symplocos nitidiflora;Weinmannia discolor;Allophylus petiolulatus;Hedyosmum brasiliense;Pourouma guianensis;Marlierea reitzii;Myrcia flagellaris;Psidium cattleianum;Pachystroma longifolium;Myrsine hermogenesii;Ocotea dispersa;Quiina glazovii;Trichilia casaretti;Tibouchina granulosa;Cyathea atrovirens;Styrax glabratus;Eugenia pruinosa;Manilkara subsericea;Attalea dubia;Colubrina glandulosa;Dahlstedtia muehlbergiana;Myrsine parvifolia;Zanthoxylum petiolare;Baccharis oreophila;Bougainvillea glabra;Cordia trichotoma;Hennecartia omphalandra;Urera baccifera;Symplocos estrellensis;Croton macrobothrys;Diospyros inconstans;Eugenia platysema;Sloanea garckeana;Cyathea gardneri;Myrceugenia miersiana;Solanum mauritianum;Cestrum intermedium;Holocalyx balansae;Myrcia hatschbachii;Trichilia clausseni;Diatenopteryx sorbifolia;Cupania oblongifolia;Calyptranthes tricona;Inga subnuda;Calophyllum brasiliense;Ilex pseudobuxus;Miconia ligustroides;Tibouchina trichopoda;Calyptranthes hatschbachii;Myrsine venosa;Symplocos corymboclados;Ilex taubertiana
465;0;92,5;0;15;7,5;0;0;5;5;0;0;20;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2,5;0;2,5;5;0;0;2,5;0;0;0;20;0;0;0;105;10;0;0;0;0;0;0;0;7,5;0;0;0;0;0;0;0;0;2,5;0;0;0;0;2,5;5;0;0;0;0;2,5;0;5;0;0;0;2,5;0;0;0;12,5;0;7,5;0;0;0;0;0;0;0;2,5;5;0;0;0;0;0;0;0;0;0;0;12,5;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,5;0;7,5;0;0;2,5;0;0;0;15;0;2,5;0;0;0;0;2,5;0;12,5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;5;35;0;0;0;0;0;10;0;2,5;2,5;2,5;0;5;0;0;0;0;0;0;0;2,5;5;0;0;7,5;0;2,5;0;2,5;0;2,5;0;2,5;5;0;2,5;2,5;0;2,5;0;5;2,5;0;2,5;2,5;5;2,5;2,5;7,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
466;0;51,28205128;0;17,94871795;25,64102564;0;0;0;7,692307692;0;5,128205128;2,564102564;2,564102564;5,128205128;0;0;0;7,692307692;0;25,64102564;0;2,564102564;5,128205128;0;0;0;10,25641026;0;2,564102564;0;7,692307692;2,564102564;0;0;7,692307692;0;0;0;0;23,07692308;0;0;5,128205128;0;5,128205128;0;5,128205128;0;0;0;20,51282051;10,25641026;0;0;5,128205128;0;0;0;0;2,564102564;15,38461538;0;5,128205128;5,128205128;0;0;0;0;0;0;0;2,564102564;0;0;0;7,692307692;0;0;0;0;0;0;0;0;0;0;0;0;0;2,564102564;0;23,07692308;0;0;0;2,564102564;0;0;0;0;0;2,564102564;0;0;7,692307692;0;0;2,564102564;5,128205128;5,128205128;0;0;0;0;0;2,564102564;0;0;0;2,564102564;7,692307692;0;0;0;10,25641026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,38461538;0;5,128205128;2,564102564;2,564102564;0;0;58,97435897;25,64102564;0;10,25641026;0;0;0;0;0;2,564102564;10,25641026;0;0;0;0;0;0;0;0;0;0;0;0;2,564102564;0;2,564102564;48,71794872;2,564102564;0;0;0;0;0;0;0;5,128205128;2,564102564;0;0;0;0;0;5,128205128;0;0;0;30,76923077;0;0;0;0;0;5,128205128;0;0;0;0;0;0;0;0;20,51282051;5,128205128;0;10,25641026;0;20,51282051;2,564102564;0;0;0;7,692307692;51,28205128;23,07692308;0;2,564102564;0;0;2,564102564;0;0;0;0;0;33,33333333;0;17,94871795;2,564102564;5,128205128;7,692307692;2,564102564;2,564102564;17,94871795;5,128205128;2,564102564;5,128205128;41,02564103;2,564102564;7,692307692;35,8974359;2,564102564;2,564102564;2,564102564;5,128205128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
467;0;0;0;0;40;0;0;2,5;0;0;2,5;0;35;0;0;22,5;0;5;0;35;0;0;27,5;0;0;0;10;0;2,5;0;0;0;0;0;5;0;0;0;5;17,5;0;0;0;0;0;0;10;2,5;0;0;22,5;0;0;0;0;0;0;2,5;0;0;17,5;0;0;45;0;0;2,5;0;0;0;0;0;0;0;0;22,5;0;0;0;2,5;0;0;0;0;0;0;0;0;0;5;0;22,5;0;0;0;2,5;0;0;0;0;0;0;0;0;22,5;0;0;0;0;5;0;0;2,5;0;2,5;0;0;0;0;12,5;5;5;0;0;5;0;2,5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;12,5;0;7,5;0;0;0;0;45;20;0;12,5;0;0;0;0;0;2,5;25;0;0;0;2,5;0;0;0;20;0;0;0;0;0;0;0;0;0;17,5;5;0;0;0;5;0;0;0;0;0;0;0;0;2,5;0;0;0;10;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;15;2,5;0;0;0;12,5;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;12,5;0;0;0;0;0;0;0;32,5;97,5;0;0;62,5;27,5;0;0;0;2,5;2,5;7,5;2,5;2,5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
468;0;10;2,5;0;15;0;0;0;0;0;0;2,5;12,5;5;0;45;0;2,5;0;27,5;0;2,5;22,5;0;0;0;2,5;0;7,5;0;0;0;2,5;0;7,5;0;0;42,5;5;0;0;0;2,5;0;0;0;62,5;0;0;0;27,5;17,5;0;0;7,5;2,5;15;7,5;5;2,5;10;0;0;0;7,5;0;5;0;0;5;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;2,5;0;70;0;0;0;0;0;0;0;0;0;0;0;0;7,5;0;0;0;0;0;0;0;0;5;12,5;0;0;32,5;2,5;5;0;17,5;2,5;2,5;15;0;15;22,5;0;0;7,5;5;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;30;0;0;2,5;0;0;0;0;0;2,5;12,5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;22,5;0;0;7,5;0;0;2,5;12,5;5;0;0;0;2,5;2,5;0;0;7,5;0;10;10;2,5;2,5;2,5;25;60;2,5;7,5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
507;0;0;0;0;60,94182825;0;0;2,770083102;0;2,770083102;11,08033241;2,770083102;0;0;0;0;0;0;0;41,55124654;0;0;16,62049861;0;0;0;0;5,540166205;0;0;2,770083102;2,770083102;0;0;13,85041551;0;0;0;0;116,3434903;0;0;0;0;0;0;52,63157895;5,540166205;2,770083102;0;49,86149584;2,770083102;5,540166205;0;2,770083102;0;0;2,770083102;0;0;11,08033241;5,540166205;8,310249307;30,47091413;0;5,540166205;0;5,540166205;0;0;0;0;0;0;0;13,85041551;0;0;0;0;0;0;0;0;0;0;0;0;0;24,93074792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,310249307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,62049861;38,78116343;2,770083102;0;2,770083102;5,540166205;0;2,770083102;0;0;0;0;0;0;0;0;0;0;0;0;2,770083102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,93074792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,310249307;0;0;0;0;0;0;0;0;0;0;2,770083102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,770083102;0;0;0;0;0;0;0;0;0;0;0;0;0;13,85041551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,55124654;0;0;5,540166205;0;0;0;0;0;0;0;0;0;0;0;8,310249307;2,770083102;2,770083102;8,310249307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
508;0;95;2,5;0;0;0;0;2,5;2,5;0;0;5;0;2,5;0;22,5;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;2,5;2,5;0;0;2,5;0;0;0;0;0;0;0;2,5;0;0;12,5;165;5;0;0;7,5;0;0;0;0;2,5;0;0;5;0;0;0;0;0;12,5;0;0;0;0;0;2,5;0;0;0;0;0;0;0;2,5;0;0;7,5;0;0;0;5;0;7,5;0;0;0;0;0;0;0;5;0;0;12,5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;5;0;0;5;0;0;2,5;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;2,5;7,5;0;0;2,5;0;0;0;0;0;0;0;5;0;0;0;0;52,5;0;42,5;0;2,5;0;0;0;0;0;7,5;2,5;0;0;12,5;0;15;0;0;0;0;0;0;0;2,5;2,5;55;2,5;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2,5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
513;2,5;155;0;5;0;0;0;35;2,5;0;0;7,5;0;0;0;77,5;0;0;0;10;0;0;0;2,5;0;0;0;0;0;0;5;5;0;0;5;0;0;0;0;0;0;0;0;0;5;0;102,5;0;0;22,5;15;37,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2,5;0;17,5;0;0;0;0;0;0;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;2,5;0;12,5;0;2,5;0;0;10;0;0;0;0;0;0;2,5;0;0;0;2,5;0;2,5;0;0;10;0;0;0;0;0;0;0;0;20;2,5;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;32,5;5;0;0;0;0;0;7,5;0;2,5;0;0;0;22,5;0;2,5;0;7,5;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;2,5;2,5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
516;0;10;0;0;30;0;0;0;0;0;2,5;20;2,5;5;0;72,5;2,5;2,5;0;42,5;0;0;2,5;0;0;0;7,5;0;0;0;0;0;0;0;7,5;0;2,5;0;0;100;0;0;0;0;0;0;32,5;0;0;0;70;27,5;0;0;0;0;0;0;0;0;32,5;0;0;52,5;0;0;0;7,5;0;0;0;0;0;0;0;17,5;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;47,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;22,5;0;0;0;0;7,5;2,5;0;7,5;2,5;12,5;0;2,5;0;0;0;0;30;10;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;7,5;0;0;0;0;0;10;10;0;0;0;2,5;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;2,5;0;0;0;2,5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;7,5;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
518;0;127,5;0;0;0;0;0;0;0;0;0;5;2,5;0;0;0;0;0;0;5;0;2,5;0;0;0;0;2,5;0;0;0;2,5;7,5;0;0;25;0;0;0;0;2,5;12,5;0;0;0;25;12,5;7,5;0;0;2,5;42,5;15;0;0;2,5;0;0;0;0;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;22,5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;2,5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;2,5;2,5;0;0;0;0;0;0;7,5;15;0;2,5;0;0;0;0;0;5;7,5;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;62,5;0;0;0;0;0;10;0;0;0;0;0;0;0;7,5;0;0;0;10;0;0;0;0;0;30;5;0;22,5;0;0;0;0;2,5;7,5;2,5;0;0;0;7,5;0;5;0;0;2,5;5;5;0;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2,5;0;0;0;2,5;10;0;0;0;0;0;0;0;0;5;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
519;0;0;2,836074872;0;0;0;0;25,52467385;8,508224617;0;8,508224617;0;17,01644923;22,68859898;0;0;0;0;0;0;0;0;0;0;0;0;5,672149745;0;0;0;0;0;0;0;0;0;0;0;0;2,836074872;0;0;14,18037436;0;2,836074872;0;2,836074872;0;5,672149745;0;2,836074872;34,03289847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,508224617;0;0;0;0;0;0;0;0;0;0;0;0;0;2,836074872;8,508224617;0;2,836074872;0;0;0;0;0;0;0;0;2,836074872;0;11,34429949;0;0;0;0;0;0;2,836074872;8,508224617;0;0;0;0;0;0;0;8,508224617;0;0;0;0;11,34429949;0;0;0;0;0;0;0;5,672149745;0;0;28,36074872;2,836074872;0;0;8,508224617;0;5,672149745;0;0;0;0;39,70504821;0;0;0;0;0;0;0;0;14,18037436;14,18037436;2,836074872;0;0;0;0;0;0;0;0;0;0;0;0;0;8,508224617;2,836074872;11,34429949;11,34429949;14,18037436;0;0;22,68859898;0;28,36074872;0;2,836074872;0;0;0;5,672149745;0;0;17,01644923;2,836074872;0;0;0;2,836074872;2,836074872;0;0;34,03289847;0;0;0;0;8,508224617;5,672149745;0;2,836074872;2,836074872;8,508224617;0;14,18037436;8,508224617;0;0;0;28,36074872;8,508224617;0;0;0;2,836074872;8,508224617;2,836074872;0;0;0;0;8,508224617;0;0;2,836074872;2,836074872;2,836074872;0;0;0;0;14,18037436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,836074872;0;0;2,836074872;0;0;0;17,01644923;11,34429949;2,836074872;2,836074872;2,836074872;2,836074872;5,672149745;36,86897334;5,672149745;11,34429949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
520;0;0;0;0;10,86956522;0;0;0;0;0;13,58695652;0;0;0;8,152173913;2,717391304;0;0;0;10,86956522;10,86956522;2,717391304;27,17391304;0;0;0;5,434782609;0;0;0;0;5,434782609;0;0;2,717391304;0;0;0;0;2,717391304;0;0;2,717391304;0;27,17391304;0;5,434782609;0;0;0;40,76086957;5,434782609;0;0;0;0;0;0;0;0;2,717391304;0;0;2,717391304;0;0;0;0;5,434782609;0;0;0;0;2,717391304;0;13,58695652;0;0;0;0;0;0;0;0;0;10,86956522;0;0;0;0;0;0;0;0;0;5,434782609;0;0;0;0;0;0;0;0;0;0;0;8,152173913;0;0;0;10,86956522;0;0;2,717391304;0;0;0;0;2,717391304;0;0;0;0;0;0;0;0;0;0;2,717391304;0;0;0;0;0;0;0;0;0;0;0;2,717391304;0;0;0;0;0;8,152173913;0;0;0;0;0;0;0;2,717391304;2,717391304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,717391304;2,717391304;0;0;0;0;0;0;0;0;0;0;0;0;10,86956522;0;0;0;0;0;5,434782609;0;0;0;0;0;27,17391304;0;0;0;0;0;0;2,717391304;2,717391304;0;0;0;13,58695652;0;0;105,9782609;8,152173913;2,717391304;8,152173913;5,434782609;0;27,17391304;0;0;0;0;0;0;0;0;2,717391304;0;0;5,434782609;0;0;2,717391304;46,19565217;0;0;0;2,717391304;24,45652174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,434782609;133,1521739;2,717391304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
